,detached_sales
2006-01-31,1290.0
2006-02-28,1599.0
2006-03-31,1827.0
2006-04-30,1773.0
2006-05-31,1796.0
2006-06-30,1712.0
2006-07-31,1243.0
2006-08-31,1162.0
2006-09-30,1045.0
2006-10-31,1107.0
2006-11-30,1238.0
2006-12-31,1050.0
2007-01-31,1342.0
2007-02-28,1758.0
2007-03-31,2031.0
2007-04-30,1852.0
2007-05-31,1789.0
2007-06-30,1568.0
2007-07-31,1332.0
2007-08-31,1154.0
2007-09-30,939.0
2007-10-31,979.0
2007-11-30,984.0
2007-12-31,758.0
2008-01-31,971.0
2008-02-29,1095.0
2008-03-31,1285.0
2008-04-30,1224.0
2008-05-31,1243.0
2008-06-30,1296.0
2008-07-31,1180.0
2008-08-31,1057.0
2008-09-30,1045.0
2008-10-31,747.0
2008-11-30,614.0
2008-12-31,394.0
2009-01-31,493.0
2009-02-28,758.0
2009-03-31,970.0
2009-04-30,1164.0
2009-05-31,1437.0
2009-06-30,1660.0
2009-07-31,1410.0
2009-08-31,1117.0
2009-09-30,1119.0
2009-10-31,1139.0
2009-11-30,959.0
2009-12-31,699.0
2010-01-31,676.0
2010-02-28,936.0
2010-03-31,1240.0
2010-04-30,1201.0
2010-05-31,1120.0
2010-06-30,939.0
2010-07-31,834.0
2010-08-31,777.0
2010-09-30,869.0
2010-10-31,802.0
2010-11-30,794.0
2010-12-31,654.0
2011-01-31,697.0
2011-02-28,1037.0
2011-03-31,1221.0
2011-04-30,1104.0
2011-05-31,1185.0
2011-06-30,1260.0
2011-07-31,1041.0
2011-08-31,986.0
2011-09-30,911.0
2011-10-31,872.0
2011-11-30,843.0
2011-12-31,628.0
2012-01-31,679.0
2012-02-29,1127.0
2012-03-31,1412.0
2012-04-30,1433.0
2012-05-31,1553.0
2012-06-30,1435.0
2012-07-31,1235.0
2012-08-31,1052.0
2012-09-30,1005.0
2012-10-31,1055.0
2012-11-30,881.0
2012-12-31,657.0
2013-01-31,779.0
2013-02-28,1050.0
2013-03-31,1304.0
2013-04-30,1428.0
2013-05-31,1571.0
2013-06-30,1477.0
2013-07-31,1385.0
2013-08-31,1350.0
2013-09-30,1198.0
2013-10-31,1176.0
2013-11-30,1041.0
2013-12-31,674.0
2014-01-31,857.0
2014-02-28,1080.0
2014-03-31,1506.0
2014-04-30,1533.0
2014-05-31,1774.0
2014-06-30,1550.0
2014-07-31,1364.0
2014-08-31,1278.0
2014-09-30,1224.0
2014-10-31,1290.0
2014-11-30,1033.0
2014-12-31,607.0
2015-01-31,534.0
2015-02-28,740.0
2015-03-31,1082.0
2015-04-30,1149.0
2015-05-31,1366.0
2015-06-30,1335.0
2015-07-31,1222.0
2015-08-31,1000.0
2015-09-30,906.0
2015-10-31,872.0
2015-11-30,799.0
2015-12-31,533.0
2016-01-31,465.0
2016-02-29,691.0
2016-03-31,1005.0
2016-04-30,1134.0
2016-05-31,1217.0
2016-06-30,1282.0
2016-07-31,1111.0
2016-08-31,980.0
2016-09-30,945.0
2016-10-31,1031.0
2016-11-30,777.0
2016-12-31,571.0
2017-01-31,584.0
2017-02-28,825.0
2017-03-31,1176.0
2017-04-30,1204.0
2017-05-31,1378.0
2017-06-30,1384.0
2017-07-31,1018.0
2017-08-31,987.0
2017-09-30,919.0
2017-10-31,908.0
2017-11-30,875.0
2017-12-31,616.0
2018-01-31,583.0
2018-02-28,657.0
2018-03-31,848.0
2018-04-30,908.0
2018-05-31,1058.0
2018-06-30,1210.0
2018-07-31,969.0
2018-08-31,927.0
2018-09-30,792.0
2018-10-31,829.0
2018-11-30,679.0
2018-12-31,496.0
2019-01-31,486.0
2019-02-28,593.0
2019-03-31,818.0
2019-04-30,930.0
2019-05-31,1182.0
2019-06-30,1100.0
2019-07-31,1003.0
2019-08-31,946.0
2019-09-30,826.0
2019-10-31,852.0
2019-11-30,710.0
2019-12-31,504.0
2020-01-31,517.0
2020-02-29,685.0
2020-03-31,691.0
2020-04-30,340.0
2020-05-31,670.0
2020-06-30,1092.0
2020-07-31,1173.0
2020-08-31,992.0
2020-09-30,1052.0
2020-10-31,1139.0
2020-11-30,883.0
2020-12-31,717.0
2021-01-31,732.0
2021-02-28,1123.0
2021-03-31,1866.0
2021-04-30,2046.0
2021-05-31,1911.0
2021-06-30,1819.0
2021-07-31,1413.0
2021-08-31,1300.0
2021-09-30,1268.0
2021-10-31,1333.0
2021-11-30,1246.0
2021-12-31,1007.0
2022-01-31,1148.0
2022-02-28,1905.0
2022-03-31,2280.0
2022-04-30,1851.0
2022-05-31,1620.0
2022-06-30,1483.0
2022-07-31,1136.0
2022-08-31,1067.0
2022-09-30,971.0
2022-10-31,942.0
2022-11-30,818.0
2022-12-31,617.0
2023-01-31,561.0
2023-02-28,794.0
2023-03-31,1145.0
2023-04-30,1306.0
2023-05-31,1486.0
2023-06-30,1525.0
2023-07-31,1197.0
