,total_new_listings
2006-01-31,2493.0
2006-02-28,2709.0
2006-03-31,3351.0
2006-04-30,3019.0
2006-05-31,3466.0
2006-06-30,3832.0
2006-07-31,3651.0
2006-08-31,3543.0
2006-09-30,4078.0
2006-10-31,3569.0
2006-11-30,2343.0
2006-12-31,1388.0
2007-01-31,3308.0
2007-02-28,3081.0
2007-03-31,4367.0
2007-04-30,4246.0
2007-05-31,4969.0
2007-06-30,4550.0
2007-07-31,3648.0
2007-08-31,4015.0
2007-09-30,4409.0
2007-10-31,3780.0
2007-11-30,2830.0
2007-12-31,1446.0
2008-01-31,4415.0
2008-02-29,4214.0
2008-03-31,5034.0
2008-04-30,4853.0
2008-05-31,4950.0
2008-06-30,3997.0
2008-07-31,3733.0
2008-08-31,3314.0
2008-09-30,3807.0
2008-10-31,3374.0
2008-11-30,2294.0
2008-12-31,1259.0
2009-01-31,2998.0
2009-02-28,2927.0
2009-03-31,2907.0
2009-04-30,2950.0
2009-05-31,3211.0
2009-06-30,3153.0
2009-07-31,2989.0
2009-08-31,2729.0
2009-09-30,2785.0
2009-10-31,2652.0
2009-11-30,2055.0
2009-12-31,1244.0
2010-01-31,2762.0
2010-02-28,3251.0
2010-03-31,4340.0
2010-04-30,4397.0
2010-05-31,4174.0
2010-06-30,3794.0
2010-07-31,2816.0
2010-08-31,2753.0
2010-09-30,3152.0
2010-10-31,2467.0
2010-11-30,1932.0
2010-12-31,1109.0
2011-01-31,2820.0
2011-02-28,3214.0
2011-03-31,3417.0
2011-04-30,3257.0
2011-05-31,3552.0
2011-06-30,3354.0
2011-07-31,2856.0
2011-08-31,2962.0
2011-09-30,3204.0
2011-10-31,2531.0
2011-11-30,1839.0
2011-12-31,1076.0
2012-01-31,2532.0
2012-02-29,2883.0
2012-03-31,3349.0
2012-04-30,3240.0
2012-05-31,3803.0
2012-06-30,3305.0
2012-07-31,2651.0
2012-08-31,2582.0
2012-09-30,2680.0
2012-10-31,2312.0
2012-11-30,1633.0
2012-12-31,880.0
2013-01-31,2493.0
2013-02-28,2671.0
2013-03-31,3192.0
2013-04-30,3476.0
2013-05-31,3716.0
2013-06-30,2998.0
2013-07-31,2725.0
2013-08-31,2774.0
2013-09-30,2794.0
2013-10-31,2521.0
2013-11-30,1825.0
2013-12-31,972.0
2014-01-31,2396.0
2014-02-28,2711.0
2014-03-31,3319.0
2014-04-30,3734.0
2014-05-31,4328.0
2014-06-30,3818.0
2014-07-31,3220.0
2014-08-31,3148.0
2014-09-30,3259.0
2014-10-31,2919.0
2014-11-30,2093.0
2014-12-31,1380.0
2015-01-31,3285.0
2015-02-28,2945.0
2015-03-31,3136.0
2015-04-30,3064.0
2015-05-31,3161.0
2015-06-30,3122.0
2015-07-31,2981.0
2015-08-31,2733.0
2015-09-30,3081.0
2015-10-31,2680.0
2015-11-30,2180.0
2015-12-31,1483.0
2016-01-31,2741.0
2016-02-29,2906.0
2016-03-31,3227.0
2016-04-30,3216.0
2016-05-31,3319.0
2016-06-30,3078.0
2016-07-31,2683.0
2016-08-31,2759.0
2016-09-30,2976.0
2016-10-31,2364.0
2016-11-30,1985.0
2016-12-31,993.0
2017-01-31,2385.0
2017-02-28,2457.0
2017-03-31,3245.0
2017-04-30,3296.0
2017-05-31,3886.0
2017-06-30,3755.0
2017-07-31,2981.0
2017-08-31,3008.0
2017-09-30,3266.0
2017-10-31,2604.0
2017-11-30,2061.0
2017-12-31,1222.0
2018-01-31,2458.0
2018-02-28,2405.0
2018-03-31,3447.0
2018-04-30,3569.0
2018-05-31,4368.0
2018-06-30,3869.0
2018-07-31,2964.0
2018-08-31,3060.0
2018-09-30,3088.0
2018-10-31,2440.0
2018-11-30,1914.0
2018-12-31,1047.0
2019-01-31,2575.0
2019-02-28,2211.0
2019-03-31,2980.0
2019-04-30,3125.0
2019-05-31,3418.0
2019-06-30,3135.0
2019-07-31,2720.0
2019-08-31,2784.0
2019-09-30,2714.0
2019-10-31,2375.0
2019-11-30,1848.0
2019-12-31,1061.0
2020-01-31,2358.0
2020-02-29,2518.0
2020-03-31,2418.0
2020-04-30,1425.0
2020-05-31,2418.0
2020-06-30,3335.0
2020-07-31,3036.0
2020-08-31,2552.0
2020-09-30,2715.0
2020-10-31,2461.0
2020-11-30,1724.0
2020-12-31,1172.0
2021-01-31,2249.0
2021-02-28,2848.0
2021-03-31,4437.0
2021-04-30,4670.0
2021-05-31,4562.0
2021-06-30,4135.0
2021-07-31,3296.0
2021-08-31,2822.0
2021-09-30,2907.0
2021-10-31,2500.0
2021-11-30,1989.0
2021-12-31,1230.0
2022-01-31,2476.0
2022-02-28,4652.0
2022-03-31,5485.0
2022-04-30,4577.0
2022-05-31,4294.0
