,ACASAMURR_A
1992-01-01,174.0
1993-01-01,240.0
1994-01-01,674.0
1995-01-01,531.0
1996-01-01,515.0
1997-01-01,1117.0
1998-01-01,1958.0
1999-01-01,2791.0
2000-01-01,2980.0
2001-01-01,2175.0
2002-01-01,3031.0
2003-01-01,3025.0
2004-01-01,3915.0
2005-01-01,2805.0
2006-01-01,4411.0
2007-01-01,3366.0
2008-01-01,5703.0
2009-01-01,388.0
2010-01-01,1349.0
2011-01-01,2106.0
2012-01-01,3994.0
2013-01-01,2975.0
2014-01-01,6734.0
2015-01-01,5745.0
2016-01-01,3701.0
2017-01-01,4226.0
2018-01-01,4403.0
2019-01-01,5383.0
2020-01-01,3299.0
2021-01-01,6314.0
2022-01-01,7750.0
2023-01-01,9034.0
2024-01-01,11505.0
