,AFMVOLCNR_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,3043.0
1983-04-01,2997.0
1983-07-01,6346.0
1983-10-01,4796.0
1984-01-01,6642.0
1984-04-01,8763.0
1984-07-01,7633.0
1984-10-01,6885.0
1985-01-01,5647.0
1985-04-01,5813.0
1985-07-01,6165.0
1985-10-01,4592.0
1986-01-01,3356.0
1986-04-01,1921.0
1986-07-01,2823.0
1986-10-01,4597.0
1987-01-01,5757.0
1987-04-01,6086.0
1987-07-01,4885.0
1987-10-01,3457.0
1988-01-01,2256.0
1988-04-01,4249.0
1988-07-01,11537.0
1988-10-01,13152.0
1989-01-01,9444.0
1989-04-01,11829.0
1989-07-01,16396.0
1989-10-01,11948.0
1990-01-01,9581.0
1990-04-01,14414.0
1990-07-01,14581.0
1990-10-01,12414.0
1991-01-01,9426.0
1991-04-01,15503.0
1991-07-01,17004.0
1991-10-01,8828.0
1992-01-01,8385.0
1992-04-01,14578.0
1992-07-01,13054.0
1992-10-01,11053.0
1993-01-01,7248.0
1993-04-01,10263.0
1993-07-01,11398.0
1993-10-01,5114.0
1994-01-01,5927.0
1994-04-01,8854.0
1994-07-01,10137.0
1994-10-01,7209.0
1995-01-01,7020.0
1995-04-01,12015.0
1995-07-01,16478.0
1995-10-01,12142.0
1996-01-01,9763.0
1996-04-01,17351.0
1996-07-01,19549.0
1996-10-01,19749.0
1997-01-01,13633.0
1997-04-01,22473.0
1997-07-01,26246.0
1997-10-01,21670.0
1998-01-01,17741.0
1998-04-01,20904.0
1998-07-01,25628.0
1998-10-01,24884.0
1999-01-01,12642.0
1999-04-01,33272.0
1999-07-01,28702.0
1999-10-01,25268.0
2000-01-01,21608.0
2000-04-01,30907.0
2000-07-01,24241.0
2000-10-01,27756.0
2001-01-01,21279.0
2001-04-01,42348.0
2001-07-01,48580.0
2001-10-01,35941.0
2002-01-01,35351.0
2002-04-01,44929.0
2002-07-01,59176.0
2002-10-01,40436.0
2003-01-01,32583.0
2003-04-01,55143.0
2003-07-01,70163.0
2003-10-01,67032.0
2004-01-01,56459.0
2004-04-01,93895.0
2004-07-01,120767.0
2004-10-01,113535.0
2005-01-01,90421.0
2005-04-01,169482.0
2005-07-01,199204.0
2005-10-01,113453.0
2006-01-01,139616.0
2006-04-01,225063.0
2006-07-01,245866.0
2006-10-01,205667.0
2007-01-01,202829.0
2007-04-01,285410.0
2007-07-01,377077.0
2007-10-01,230706.0
2008-01-01,274817.0
2008-04-01,379301.0
2008-07-01,296364.0
2008-10-01,133174.0
2009-01-01,115121.0
2009-04-01,318315.0
2009-07-01,340420.0
2009-10-01,223262.0
2010-01-01,267375.0
2010-04-01,301748.0
2010-07-01,246396.0
2010-10-01,218036.0
2011-01-01,347603.0
2011-04-01,359172.0
2011-07-01,289893.0
2011-10-01,221794.0
2012-01-01,284183.0
2012-04-01,362386.0
2012-07-01,282895.0
2012-10-01,224936.0
2013-01-01,229307.0
2013-04-01,339203.0
2013-07-01,313017.0
2013-10-01,216116.0
2014-01-01,254801.0
2014-04-01,370432.0
2014-07-01,272017.0
2014-10-01,176366.0
2015-01-01,120390.0
2015-04-01,209003.0
2015-07-01,143138.0
2015-10-01,98159.0
2016-01-01,81640.0
2016-04-01,67474.0
2016-07-01,205105.0
2016-10-01,106669.0
2017-01-01,99798.0
2017-04-01,135298.0
2017-07-01,110001.0
2017-10-01,89971.0
2018-01-01,101734.0
2018-04-01,141182.0
2018-07-01,129427.0
2018-10-01,73876.0
2019-01-01,91849.0
2019-04-01,132178.0
2019-07-01,116593.0
2019-10-01,81829.0
2020-01-01,96306.0
2020-04-01,79012.0
2020-07-01,112076.0
2020-10-01,72782.0
2021-01-01,119223.0
2021-04-01,168240.0
2021-07-01,124600.0
2021-10-01,112695.0
2022-01-01,146821.0
2022-04-01,191915.0
