,AREVOLCNR_Q
1980-01-01,11055.0
1980-04-01,13000.0
1980-07-01,19718.0
1980-10-01,13123.0
1981-01-01,12111.0
1981-04-01,16872.0
1981-07-01,13938.0
1981-10-01,11548.0
1982-01-01,8348.0
1982-04-01,9123.0
1982-07-01,10150.0
1982-10-01,13140.0
1983-01-01,10123.0
1983-04-01,14921.0
1983-07-01,14207.0
1983-10-01,12574.0
1984-01-01,10551.0
1984-04-01,15291.0
1984-07-01,14196.0
1984-10-01,14847.0
1985-01-01,14570.0
1985-04-01,19368.0
1985-07-01,23276.0
1985-10-01,19018.0
1986-01-01,16664.0
1986-04-01,19220.0
1986-07-01,20695.0
1986-10-01,14687.0
1987-01-01,16297.0
1987-04-01,23996.0
1987-07-01,21105.0
1987-10-01,17037.0
1988-01-01,15734.0
1988-04-01,28847.0
1988-07-01,27663.0
1988-10-01,21948.0
1989-01-01,19918.0
1989-04-01,30885.0
1989-07-01,36110.0
1989-10-01,28993.0
1990-01-01,29689.0
1990-04-01,34731.0
1990-07-01,34123.0
1990-10-01,31263.0
1991-01-01,26343.0
1991-04-01,40995.0
1991-07-01,37601.0
1991-10-01,27584.0
1992-01-01,33908.0
1992-04-01,41237.0
1992-07-01,41800.0
1992-10-01,26972.0
1993-01-01,33027.0
1993-04-01,50702.0
1993-07-01,54080.0
1993-10-01,36064.0
1994-01-01,36972.0
1994-04-01,48412.0
1994-07-01,45977.0
1994-10-01,34737.0
1995-01-01,33850.0
1995-04-01,51054.0
1995-07-01,46534.0
1995-10-01,34988.0
1996-01-01,35751.0
1996-04-01,52660.0
1996-07-01,50857.0
1996-10-01,45396.0
1997-01-01,48292.0
1997-04-01,66833.0
1997-07-01,69292.0
1997-10-01,54387.0
1998-01-01,47823.0
1998-04-01,80802.0
1998-07-01,83358.0
1998-10-01,53489.0
1999-01-01,48473.0
1999-04-01,85844.0
1999-07-01,84278.0
1999-10-01,65398.0
2000-01-01,62729.0
2000-04-01,92547.0
2000-07-01,85549.0
2000-10-01,60843.0
2001-01-01,68854.0
2001-04-01,100138.0
2001-07-01,99840.0
2001-10-01,73583.0
2002-01-01,71015.0
2002-04-01,109682.0
2002-07-01,105568.0
2002-10-01,69015.0
2003-01-01,71829.0
2003-04-01,116421.0
2003-07-01,116553.0
2003-10-01,84790.0
2004-01-01,101052.0
2004-04-01,160249.0
2004-07-01,147636.0
2004-10-01,96204.0
2005-01-01,110684.0
2005-04-01,203235.0
2005-07-01,189957.0
2005-10-01,138151.0
2006-01-01,189311.0
2006-04-01,322356.0
2006-07-01,289596.0
2006-10-01,236123.0
2007-01-01,325136.0
2007-04-01,481168.0
2007-07-01,356698.0
2007-10-01,209756.0
2008-01-01,290290.0
2008-04-01,436876.0
2008-07-01,396133.0
2008-10-01,178197.0
2009-01-01,188490.0
2009-04-01,352082.0
2009-07-01,325549.0
2009-10-01,225169.0
2010-01-01,194135.0
2010-04-01,305664.0
2010-07-01,246047.0
2010-10-01,190050.0
2011-01-01,212158.0
2011-04-01,320361.0
2011-07-01,311613.0
2011-10-01,235234.0
2012-01-01,255200.0
2012-04-01,429166.0
2012-07-01,347399.0
2012-10-01,228472.0
2013-01-01,272232.0
2013-04-01,465085.0
2013-07-01,426878.0
2013-10-01,275418.0
2014-01-01,309447.0
2014-04-01,564569.0
2014-07-01,499138.0
2014-10-01,330185.0
2015-01-01,259091.0
2015-04-01,477332.0
2015-07-01,415233.0
2015-10-01,222743.0
2016-01-01,204712.0
2016-04-01,395050.0
2016-07-01,339279.0
2016-10-01,233275.0
2017-01-01,229804.0
2017-04-01,372998.0
2017-07-01,338300.0
2017-10-01,229285.0
2018-01-01,214625.0
2018-04-01,362805.0
2018-07-01,336958.0
2018-10-01,194476.0
2019-01-01,182296.0
2019-04-01,333737.0
2019-07-01,315193.0
2019-10-01,191311.0
2020-01-01,188766.0
2020-04-01,232910.0
2020-07-01,394554.0
2020-10-01,308243.0
2021-01-01,431737.0
2021-04-01,679635.0
2021-07-01,526981.0
2021-10-01,381413.0
2022-01-01,516947.0
2022-04-01,709156.0
2022-07-01,471751.0
2022-10-01,
