,BVIRAT32CR
1992-01-01,684.0
1993-01-01,703.0
1994-01-01,713.0
1995-01-01,715.0
1996-01-01,717.0
1997-01-01,724.0
1998-01-01,722.0
1999-01-01,728.0
2000-01-01,731.0
2001-01-01,751.0
2002-01-01,771.0
2003-01-01,789.0
2004-01-01,799.0
2005-01-01,837.0
2006-01-01,874.0
2007-01-01,907.0
2008-01-01,965.0
2009-01-01,1001.0
2010-01-01,1024.0
2011-01-01,1045.0
2012-01-01,1059.0
2013-01-01,1068.0
2014-01-01,1095.0
2015-01-01,1128.0
2016-01-01,1188.0
2017-01-01,1288.0
2018-01-01,1406.0
2019-01-01,1448.0
2020-01-01,1507.0
2021-01-01,1571.0
2022-01-01,1699.0
2023-01-01,1839.0
2024-01-01,
