,KRESAMURR_A
1992-01-01,97.0
1993-01-01,108.0
1994-01-01,0.0
1995-01-01,33.0
1996-01-01,53.0
1997-01-01,40.0
1998-01-01,35.0
1999-01-01,149.0
2000-01-01,84.0
2001-01-01,188.0
2002-01-01,101.0
2003-01-01,196.0
2004-01-01,276.0
2005-01-01,109.0
2006-01-01,2.0
2007-01-01,286.0
2008-01-01,293.0
2009-01-01,258.0
2010-01-01,418.0
2011-01-01,518.0
2012-01-01,1213.0
2013-01-01,1357.0
2014-01-01,1040.0
2015-01-01,847.0
2016-01-01,501.0
2017-01-01,804.0
2018-01-01,500.0
2019-01-01,135.0
2020-01-01,264.0
2021-01-01,385.0
2022-01-01,408.0
2023-01-01,808.0
2024-01-01,715.0
