,KSKRAT3BCR
1992-01-01,275.0
1993-01-01,278.0
1994-01-01,277.0
1995-01-01,284.0
1996-01-01,301.0
1997-01-01,312.0
1998-01-01,324.0
1999-01-01,339.0
2000-01-01,346.0
2001-01-01,356.0
2002-01-01,362.0
2003-01-01,371.0
2004-01-01,372.0
2005-01-01,374.0
2006-01-01,395.0
2007-01-01,435.0
2008-01-01,518.0
2009-01-01,568.0
2010-01-01,599.0
2011-01-01,632.0
2012-01-01,655.0
2013-01-01,666.0
2014-01-01,693.0
2015-01-01,686.0
2016-01-01,703.0
2017-01-01,684.0
2018-01-01,701.0
2019-01-01,722.0
2020-01-01,729.0
2021-01-01,745.0
2022-01-01,780.0
2023-01-01,829.0
2024-01-01,938.0
