,upper
2021-01-01,4866.302616035613
2021-04-01,5705.543590253561
2021-07-01,6188.871377455049
2021-10-01,5965.489569129947
2022-01-01,6018.363126743094
2022-04-01,6071.716062882608
2022-07-01,5950.822803025183
2022-10-01,5106.255115187885
2023-01-01,4237.574920233037
2023-04-01,4011.169882797119
2023-07-01,4193.693020043762
2023-10-01,4723.425579617765
2024-01-01,5276.181458155598
2024-04-01,5654.266074641464
2024-07-01,5951.821133779606
2024-10-01,6114.460009570371
2025-01-01,6227.710640328654
2025-04-01,6320.380166358002
2025-07-01,6447.851556623035
2025-10-01,6584.6421102345685
